step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,181,C1305486145,181,0,C553264065,0,0,1,0
1,CASH_OUT,181,C840083671,181,0,C38997010,21182,0,1,0
1,TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,1,0
1,CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,1,0
1,TRANSFER,20128,C137533655,20128,0,C1848415041,0,0,1,0
1,CASH_OUT,20128,C1118430673,20128,0,C339924917,6268,12145.85,1,0
1,CASH_OUT,416001.33,C749981943,0,0,C667346055,102,9291619.62,1,0
1,TRANSFER,1277212.77,C1334405552,1277212.77,0,C431687661,0,0,1,0
1,CASH_OUT,1277212.77,C467632528,1277212.77,0,C716083600,0,2444985.19,1,0
1,TRANSFER,35063.63,C1364127192,35063.63,0,C1136419747,0,0,1,0
1,CASH_OUT,35063.63,C1635772897,35063.63,0,C1983025922,31140,7550.03,1,0
1,TRANSFER,25071.46,C669700766,25071.46,0,C1384210339,0,0,1,0
1,CASH_OUT,25071.46,C1275464847,25071.46,0,C1364913072,9083.76,34155.22,1,0
1,CASH_OUT,132842.64,C13692003,4499.08,0,C297927961,0,132842.64,1,0
1,TRANSFER,235238.66,C1872047468,235238.66,0,C116289363,0,0,1,0
1,CASH_OUT,235238.66,C1499825229,235238.66,0,C2100440237,0,235238.66,1,0
2,TRANSFER,1096187.24,C1093223281,1096187.24,0,C2063275841,0,0,1,0
2,CASH_OUT,1096187.24,C77163673,1096187.24,0,C644345897,0,1096187.24,1,0
2,TRANSFER,963532.14,C1440057381,963532.14,0,C268086000,0,0,1,0
2,CASH_OUT,963532.14,C430329518,963532.14,0,C991505714,132382.57,1095914.71,1,0
2,TRANSFER,14949.84,C140702728,14949.84,0,C634210724,0,0,1,0
2,CASH_OUT,14949.84,C395257482,14949.84,0,C1032986144,18161.79,33111.63,1,0
2,TRANSFER,18627.02,C1375503918,18627.02,0,C234430897,0,0,1,0
2,CASH_OUT,18627.02,C175961135,18627.02,0,C1711105800,147251.58,165878.6,1,0
3,TRANSFER,10539.37,C1134864869,10539.37,0,C118648358,0,0,1,0
3,CASH_OUT,10539.37,C1984954272,10539.37,0,C124540047,0,10539.37,1,0
3,TRANSFER,22877,C1247938090,22877,0,C1002031672,0,0,1,0
3,CASH_OUT,22877,C2126545173,22877,0,C573200870,0,22877,1,0
4,TRANSFER,1.00E+07,C7162498,1.29E+07,2930418.44,C945327594,0,0,1,0
4,CASH_OUT,1.00E+07,C351297720,1.00E+07,0,C766681183,0,9941904.21,1,0
4,TRANSFER,2930418.44,C2047521920,2930418.44,0,C449261773,0,0,1,0
4,CASH_OUT,2930418.44,C2044690596,2930418.44,0,C932583850,3616012.1,6963508.84,1,0
4,TRANSFER,169941.73,C540962910,169941.73,0,C2127862399,0,0,1,0
4,CASH_OUT,169941.73,C2026325575,169941.73,0,C1394526584,0,169941.73,1,0
4,TRANSFER,13707.11,C17222024,13707.11,0,C410033330,0,0,1,0
4,CASH_OUT,13707.11,C556223230,13707.11,0,C2094777811,0,13707.11,1,0
4,TRANSFER,86070.17,C1844941220,86070.17,0,C1191544932,0,0,1,0
4,CASH_OUT,86070.17,C1699873763,86070.17,0,C560041895,0,86070.17,1,0
5,TRANSFER,120074.73,C1409933277,120074.73,0,C162114152,0,0,1,0
5,CASH_OUT,120074.73,C1174000532,120074.73,0,C410033330,0,120074.73,1,0
5,TRANSFER,60726.57,C383882703,60726.57,0,C1807010830,0,0,1,0
5,CASH_OUT,60726.57,C840095827,60726.57,0,C803116137,1.30E+07,1.31E+07,1,0
5,TRANSFER,10119.47,C1775746074,10119.47,0,C746009679,0,0,1,0
5,CASH_OUT,10119.47,C213063852,10119.47,0,C922511709,0,10119.47,1,0
6,TRANSFER,33332.86,C2025652936,33332.86,0,C1662235713,0,0,1,0
6,CASH_OUT,33332.86,C685428529,33332.86,0,C1626759869,31002,0,1,0
6,TRANSFER,25975.86,C864622150,25975.86,0,C41792607,0,0,1,0
6,CASH_OUT,25975.86,C1004271827,25975.86,0,C451934410,98152,28041.27,1,0
6,TRANSFER,26768.5,C457596841,26768.5,0,C1956477953,0,0,1,0
6,CASH_OUT,26768.5,C682812632,26768.5,0,C256417920,101976,128744.5,1,0
6,TRANSFER,30521.02,C903383636,30521.02,0,C904300960,0,0,1,0
6,CASH_OUT,30521.02,C1813769162,30521.02,0,C1249547869,0,30521.02,1,0
6,TRANSFER,216422,C666642000,216422,0,C1315078366,0,0,1,0
6,CASH_OUT,216422,C1547714604,216422,0,C7881234,10097,48630.5,1,0
6,TRANSFER,17320.91,C788790720,17320.91,0,C1589547066,0,0,1,0
6,CASH_OUT,17320.91,C436661284,17320.91,0,C522173599,6244.44,0,1,0
6,TRANSFER,17246,C1034673425,17246,0,C1379589736,0,101717.84,1,0
6,CASH_OUT,17246,C1484518113,17246,0,C978609035,0,17246,1,0
6,TRANSFER,10565,C777407608,10565,0,C1790657739,0,0,1,0
6,CASH_OUT,10565,C1191732945,10565,0,C418964192,36275,24380.72,1,0
6,TRANSFER,10224,C365589282,10224,0,C908043384,0,0,1,0
6,CASH_OUT,10224,C1284098442,10224,0,C801412408,0,10224,1,0
6,TRANSFER,85354.69,C558400671,85354.69,0,C527482085,0,0,1,0
6,CASH_OUT,85354.69,C158801009,85354.69,0,C382431057,11170,10612.55,1,0
6,TRANSFER,13704,C1735554279,13704,0,C12793273,0,1658746.09,1,0
6,CASH_OUT,13704,C1421965867,13704,0,C1438594533,3382.84,143675.35,1,0
7,TRANSFER,262434.54,C2101686389,262434.54,0,C612008977,0,0,1,0
